country,origin,forecast_start,forecast_end,horizon_n,model_type,order,seasonal_order,MAE,RMSE,sMAPE,status
Ireland,2023-12-01,2024-01-01,2024-12-01,12,SARIMAX,"(2, 1, 1)","(0, 1, 1, 12)",8.401029835310373,9.141057434887152,10.283538797928415,OK
Ireland,2023-12-01,2024-01-01,2024-12-01,12,Seasonal_Naive,,,4.333333333333333,5.291502622129181,5.434145247745381,OK
New_Zealand,2021-12-01,2022-01-01,2022-12-01,12,ARIMA,"(2, 1, 2)","(0, 0, 0, 0)",5.021634175202422,8.070341992083431,5.915935804069897,OK
New_Zealand,2021-12-01,2022-01-01,2022-12-01,12,Naive,,,14.916666666666666,15.370426148939398,18.119843748266476,OK
New_Zealand,2021-12-01,2022-01-01,2022-12-01,12,SARIMA,"(0, 1, 1)","(1, 0, 0, 12)",4.244033277612886,6.045827389708929,5.025517165475311,OK
New_Zealand,2021-12-01,2022-01-01,2022-12-01,12,SARIMAX,"(0, 1, 1)","(1, 0, 0, 12)",4.066708237551961,6.055114689768079,4.824952204381724,OK
New_Zealand,2021-12-01,2022-01-01,2022-12-01,12,Seasonal_Naive,,,4.833333333333333,5.84522597225006,5.526268307510318,OK
New_Zealand,2022-12-01,2023-01-01,2023-12-01,12,ARIMA,"(2, 1, 2)","(0, 0, 0, 0)",7.0559240408133705,8.51054726305023,8.122244042226189,OK
New_Zealand,2022-12-01,2023-01-01,2023-12-01,12,Naive,,,22.25,23.595550427993835,28.387337316991495,OK
New_Zealand,2022-12-01,2023-01-01,2023-12-01,12,SARIMA,"(0, 1, 1)","(1, 0, 0, 12)",6.720998553562695,8.33181373152243,7.652084043521554,OK
New_Zealand,2022-12-01,2023-01-01,2023-12-01,12,SARIMAX,"(0, 1, 1)","(1, 0, 0, 12)",5.846059041018922,7.349372610606618,6.694792713519335,OK
New_Zealand,2022-12-01,2023-01-01,2023-12-01,12,Seasonal_Naive,,,4.666666666666667,5.972157622389639,5.377488075423564,OK
New_Zealand,2023-05-01,2023-06-01,2024-05-01,12,ARIMA,"(2, 1, 2)","(0, 0, 0, 0)",8.222899397105502,10.109147076151284,9.427007040813105,OK
New_Zealand,2023-05-01,2023-06-01,2024-05-01,12,Naive,,,12.833333333333334,14.657193910613769,14.18007792367704,OK
New_Zealand,2023-05-01,2023-06-01,2024-05-01,12,SARIMA,"(0, 1, 1)","(1, 0, 0, 12)",8.76676144403579,9.983468526904465,9.942710781120978,OK
New_Zealand,2023-05-01,2023-06-01,2024-05-01,12,SARIMAX,"(0, 1, 1)","(1, 0, 0, 12)",3.9916093769041083,4.777927222359401,4.617661097577349,OK
New_Zealand,2023-05-01,2023-06-01,2024-05-01,12,Seasonal_Naive,,,4.166666666666667,5.730037812557028,4.7582060493929905,OK
New_Zealand,2023-12-01,2024-01-01,2024-12-01,12,ARIMA,"(2, 1, 2)","(0, 0, 0, 0)",5.240054877584395,7.210121034985912,6.103096829911384,OK
New_Zealand,2023-12-01,2024-01-01,2024-12-01,12,Naive,,,14.75,16.565526453049014,18.39806448829504,OK
New_Zealand,2023-12-01,2024-01-01,2024-12-01,12,SARIMA,"(0, 1, 1)","(1, 0, 0, 12)",4.671313890396754,5.849175144843,5.423948658438751,OK
New_Zealand,2023-12-01,2024-01-01,2024-12-01,12,SARIMAX,"(0, 1, 1)","(1, 0, 0, 12)",4.566165091066014,5.702655641289505,5.309276731068533,OK
New_Zealand,2023-12-01,2024-01-01,2024-12-01,12,Seasonal_Naive,,,5.5,6.928203230275509,6.119134352823559,OK
UK,2021-12-01,2022-01-01,2022-12-01,12,ARIMA,"(0, 1, 1)","(0, 0, 0, 0)",8.547725720199663,9.755053381635772,9.736500384269002,OK
UK,2021-12-01,2022-01-01,2022-12-01,12,Naive,,,5.583333333333333,6.898067362191626,6.493111654919827,OK
UK,2021-12-01,2022-01-01,2022-12-01,12,SARIMA,"(0, 1, 1)","(0, 0, 1, 12)",9.223973254401406,10.149538289677906,10.444881323828913,OK
UK,2021-12-01,2022-01-01,2022-12-01,12,SARIMAX,"(2, 1, 1)","(0, 0, 1, 12)",8.49387280701444,9.342592639920639,9.670162249898949,OK
UK,2021-12-01,2022-01-01,2022-12-01,12,Seasonal_Naive,,,7.5,8.134289561274953,8.531038819770263,OK
UK,2022-12-01,2023-01-01,2023-12-01,12,ARIMA,"(0, 1, 1)","(0, 0, 0, 0)",5.609129011302817,6.363666401777963,6.465038280854348,OK
UK,2022-12-01,2023-01-01,2023-12-01,12,Naive,,,12.5,13.121229617176382,15.086868149464266,OK
UK,2022-12-01,2023-01-01,2023-12-01,12,SARIMA,"(0, 1, 1)","(0, 0, 1, 12)",7.411997603784946,8.192906731632851,8.666371628726004,OK
UK,2022-12-01,2023-01-01,2023-12-01,12,SARIMAX,"(2, 1, 1)","(0, 0, 1, 12)",11.165082709255008,11.79612836209769,12.41151991179316,OK
UK,2022-12-01,2023-01-01,2023-12-01,12,Seasonal_Naive,,,4.916666666666667,5.515130702591432,5.652069148058727,OK
UK,2023-05-01,2023-06-01,2024-05-01,12,ARIMA,"(0, 1, 1)","(0, 0, 0, 0)",4.682651243280188,6.248585425445778,5.290103173863449,OK
UK,2023-05-01,2023-06-01,2024-05-01,12,Naive,,,3.5833333333333335,5.139714648369758,4.100869759258615,OK
UK,2023-05-01,2023-06-01,2024-05-01,12,SARIMA,"(0, 1, 1)","(0, 0, 1, 12)",4.517402509999684,6.032032313290966,5.069967651332517,OK
UK,2023-05-01,2023-06-01,2024-05-01,12,SARIMAX,"(2, 1, 1)","(0, 0, 1, 12)",12.735039901133865,13.45040834000918,13.55752383660655,OK
UK,2023-05-01,2023-06-01,2024-05-01,12,Seasonal_Naive,,,4.083333333333333,4.804511768466525,4.772649415448282,OK
UK,2023-12-01,2024-01-01,2024-12-01,12,ARIMA,"(0, 1, 1)","(0, 0, 0, 0)",4.280990045790436,4.653527293354919,4.927383146500806,OK
UK,2023-12-01,2024-01-01,2024-12-01,12,Naive,,,8.083333333333334,9.142392101268317,9.607477033061324,OK
UK,2023-12-01,2024-01-01,2024-12-01,12,SARIMA,"(0, 1, 1)","(0, 0, 1, 12)",4.4320497497921565,5.5093686494548075,5.0825053981470365,OK
UK,2023-12-01,2024-01-01,2024-12-01,12,SARIMAX,"(2, 1, 1)","(0, 0, 1, 12)",5.519592714319511,6.730152623445643,6.270711345759146,OK
UK,2023-12-01,2024-01-01,2024-12-01,12,Seasonal_Naive,,,3.5833333333333335,4.368447474027052,4.144759109972004,OK
US,2021-12-01,2022-01-01,2022-12-01,12,ARIMA,"(3, 1, 1)","(0, 0, 0, 0)",5.442529773468009,6.005174234759345,6.335549048749524,OK
US,2021-12-01,2022-01-01,2022-12-01,12,Naive,,,7.416666666666667,8.920949127381757,8.808693461836343,OK
US,2021-12-01,2022-01-01,2022-12-01,12,SARIMA,"(1, 1, 1)","(1, 1, 1, 12)",4.796054940039261,5.428899829542243,5.572328296503978,OK
US,2021-12-01,2022-01-01,2022-12-01,12,SARIMAX,"(1, 1, 1)","(1, 1, 1, 12)",4.301569530695986,4.830422349605964,5.010234624617979,OK
US,2021-12-01,2022-01-01,2022-12-01,12,Seasonal_Naive,,,4.583333333333333,4.9413223601245315,5.310385836659174,OK
US,2022-12-01,2023-01-01,2023-12-01,12,ARIMA,"(3, 1, 1)","(0, 0, 0, 0)",4.626463971442278,5.332883630247098,5.192228598181544,OK
US,2022-12-01,2023-01-01,2023-12-01,12,Naive,,,7.166666666666667,8.010409893798611,8.195031286833514,OK
US,2022-12-01,2023-01-01,2023-12-01,12,SARIMA,"(1, 1, 1)","(1, 1, 1, 12)",3.6670839602961736,4.254598209401541,4.134803541946224,OK
US,2022-12-01,2023-01-01,2023-12-01,12,SARIMAX,"(1, 1, 1)","(1, 1, 1, 12)",6.2200795795079244,6.7516307873462,6.837553834514845,OK
US,2022-12-01,2023-01-01,2023-12-01,12,Seasonal_Naive,,,5.083333333333333,6.576473218982953,5.911927027125006,OK
US,2023-05-01,2023-06-01,2024-05-01,12,ARIMA,"(3, 1, 1)","(0, 0, 0, 0)",4.617395293564244,5.446470021120872,5.124093870562641,OK
US,2023-05-01,2023-06-01,2024-05-01,12,Naive,,,2.6666666666666665,3.13581462037113,3.0107597130947013,OK
US,2023-05-01,2023-06-01,2024-05-01,12,SARIMA,"(1, 1, 1)","(1, 1, 1, 12)",6.302008626921786,7.38351497109061,6.8505168309585125,OK
US,2023-05-01,2023-06-01,2024-05-01,12,SARIMAX,"(1, 1, 1)","(1, 1, 1, 12)",12.780897632428713,13.438482523468817,13.452420998572014,OK
US,2023-05-01,2023-06-01,2024-05-01,12,Seasonal_Naive,,,5.416666666666667,6.157651067303722,6.1677709731123525,OK
US,2023-12-01,2024-01-01,2024-12-01,12,ARIMA,"(3, 1, 1)","(0, 0, 0, 0)",3.381874860789894,4.128266492597844,3.7413169858542816,OK
US,2023-12-01,2024-01-01,2024-12-01,12,Naive,,,5.0,6.231639698613306,5.694109029267963,OK
US,2023-12-01,2024-01-01,2024-12-01,12,SARIMA,"(1, 1, 1)","(1, 1, 1, 12)",4.761423709433477,5.112247899336995,5.214264020394443,OK
US,2023-12-01,2024-01-01,2024-12-01,12,SARIMAX,"(1, 1, 1)","(1, 1, 1, 12)",4.852387295348912,5.164814352591972,5.31626260183539,OK
US,2023-12-01,2024-01-01,2024-12-01,12,Seasonal_Naive,,,3.3333333333333335,4.301162633521313,3.6581772051213055,OK
