country,date,phase,counterfactual_version,observed,counterfactual_mean,counterfactual_lower_95,counterfactual_upper_95,gap,observed_above_counterfactual,observed_above_upper_95,counterfactual_exceeds_100,selected_order,selected_seasonal_order
Australia,2021-06-01,COVID_period,raw,88.0,96.02047361428994,82.64414635094548,109.3968008776344,-8.02047361428994,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-06-01,COVID_period,capped,88.0,96.02047361428994,82.64414635094548,100.0,-8.02047361428994,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-06-01,COVID_period,logit,88.0,92.02174270809417,83.90791124250399,96.22864834695255,-4.021742708094166,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-07-01,COVID_period,raw,80.0,92.91623265754286,79.2210477028258,106.61141761225993,-12.916232657542864,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-07-01,COVID_period,capped,80.0,92.91623265754286,79.2210477028258,100.0,-12.916232657542864,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-07-01,COVID_period,logit,80.0,90.25100677443162,80.45457616742318,95.41730785309092,-10.251006774431616,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-08-01,COVID_period,raw,90.0,99.63715417441745,85.63037382612383,113.64393452271106,-9.637154174417446,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-08-01,COVID_period,capped,90.0,99.63715417441745,85.63037382612383,100.0,-9.637154174417446,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-08-01,COVID_period,logit,90.0,94.45097726430684,88.1602229515635,97.49460307631033,-4.450977264306843,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-09-01,COVID_period,raw,94.0,97.92162352013818,83.61003148899924,112.23321555127713,-3.9216235201381835,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-09-01,COVID_period,capped,94.0,97.92162352013818,83.61003148899924,100.0,-3.9216235201381835,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-09-01,COVID_period,logit,94.0,93.26736101143838,85.64140003936207,96.98597532218368,0.732638988561618,1,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-10-01,COVID_period,raw,100.0,100.68551647328778,86.07547096561467,115.29556198096088,-0.6855164732877768,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-10-01,COVID_period,capped,100.0,100.0,86.07547096561467,100.0,0.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-10-01,COVID_period,logit,100.0,95.32054488013549,89.62007832866763,97.9619396234261,4.679455119864514,1,1,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-11-01,COVID_period,raw,89.0,93.67599993223621,78.77347694542269,108.57852291904973,-4.675999932236209,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-11-01,COVID_period,capped,89.0,93.67599993223621,78.77347694542269,100.0,-4.675999932236209,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-11-01,COVID_period,logit,89.0,90.27457634067034,79.48579669481026,95.69685210311209,-1.274576340670336,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-12-01,COVID_period,raw,70.0,83.79762278014535,68.60825305415476,98.98699250613593,-13.797622780145346,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-12-01,COVID_period,capped,70.0,83.79762278014535,68.60825305415476,98.98699250613593,-13.797622780145346,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2021-12-01,COVID_period,logit,70.0,82.05165362194052,65.27465276393593,91.74811107020008,-12.051653621940517,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-01-01,COVID_period,raw,76.0,91.12842475167687,74.93473508203053,107.32211442132322,-15.128424751676874,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-01-01,COVID_period,capped,76.0,91.12842475167687,74.93473508203053,100.0,-15.128424751676874,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-01-01,COVID_period,logit,76.0,88.60854337998242,74.35608458451537,95.42725613403022,-12.608543379982422,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-02-01,COVID_period,raw,90.0,100.00413623411512,83.2137007726338,116.79457169559645,-10.004136234115123,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-02-01,COVID_period,capped,90.0,100.0,83.2137007726338,100.0,-10.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-02-01,COVID_period,logit,90.0,93.91131803753889,84.5996402976058,97.74338182171289,-3.9113180375388907,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-03-01,COVID_period,raw,95.0,102.23828247675016,84.93581334871433,119.54075160478598,-7.2382824767501575,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-03-01,COVID_period,capped,95.0,100.0,84.93581334871433,100.0,-5.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-03-01,COVID_period,logit,95.0,94.76604556482482,86.15705984919752,98.13725850840893,0.23395443517517833,1,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-04-01,COVID_period,raw,87.0,100.83979102742913,83.05324013185917,118.62634192299909,-13.83979102742913,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-04-01,COVID_period,capped,87.0,100.0,83.05324013185917,100.0,-13.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-04-01,COVID_period,logit,87.0,93.77201789958839,83.36149033522894,97.83817531023765,-6.772017899588391,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-05-01,COVID_period,raw,84.0,103.15438304514906,84.89938673815506,121.40937935214306,-19.15438304514906,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-05-01,COVID_period,capped,84.0,100.0,84.89938673815506,100.0,-16.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-05-01,COVID_period,logit,84.0,94.79785912075073,85.45988234463208,98.26127207617895,-10.79785912075073,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-06-01,COVID_period,raw,83.0,100.74747486154388,82.03635670815305,119.4585930149347,-17.74747486154388,0,0,1,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-06-01,COVID_period,capped,83.0,100.0,82.03635670815305,100.0,-17.0,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-06-01,COVID_period,logit,83.0,94.30280719005073,83.81826696651963,98.14498972566086,-11.302807190050729,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-07-01,COVID_period,raw,84.0,97.1734266338491,78.01717254066747,116.32968072703073,-13.173426633849104,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
Australia,2022-07-01,COVID_period,capped,84.0,97.1734266338491,78.01717254066747,100.0,-13.173426633849104,0,0,0,"(1, 1, 1)","(1, 1, 1, 12)"
