"Time","Anxiety","Major depressive disorder","Psychological Stress","Insomnia","Mental disorder"
"2011-11-01",42,51,33,11,23
"2011-12-01",34,42,30,10,19
"2012-01-01",46,52,27,13,21
"2012-02-01",47,55,30,11,23
"2012-03-01",47,48,32,11,21
"2012-04-01",45,45,30,10,20
"2012-05-01",44,44,27,10,25
"2012-06-01",41,39,25,9,19
"2012-07-01",41,34,23,10,17
"2012-08-01",42,35,23,11,16
"2012-09-01",49,38,26,11,20
"2012-10-01",49,46,31,11,22
"2012-11-01",49,49,34,11,23
"2012-12-01",42,42,26,11,19
"2013-01-01",49,48,29,13,22
"2013-02-01",51,50,31,11,26
"2013-03-01",52,49,33,12,23
"2013-04-01",53,47,34,10,23
"2013-05-01",50,47,30,9,21
"2013-06-01",44,38,25,10,19
"2013-07-01",45,36,21,10,16
"2013-08-01",48,35,22,11,17
"2013-09-01",51,38,28,10,18
"2013-10-01",51,45,36,11,24
"2013-11-01",51,48,33,10,23
"2013-12-01",48,44,29,10,19
"2014-01-01",56,52,33,12,26
"2014-02-01",54,49,33,11,23
"2014-03-01",55,51,35,12,25
"2014-04-01",54,46,33,10,25
"2014-05-01",51,45,33,9,22
"2014-06-01",51,43,26,8,20
"2014-07-01",51,38,26,9,18
"2014-08-01",54,53,23,11,21
"2014-09-01",57,47,31,10,21
"2014-10-01",60,50,35,11,26
"2014-11-01",64,51,39,10,27
"2014-12-01",51,43,32,10,20
"2015-01-01",66,52,35,12,31
"2015-02-01",64,50,36,11,27
"2015-03-01",67,52,37,12,27
"2015-04-01",63,50,36,10,25
"2015-05-01",60,46,32,9,23
"2015-06-01",57,43,30,9,21
"2015-07-01",59,40,24,10,19
"2015-08-01",59,41,26,10,17
"2015-09-01",66,45,31,10,22
"2015-10-01",66,49,37,10,26
"2015-11-01",71,54,41,11,30
"2015-12-01",64,48,34,11,22
"2016-01-01",72,53,35,12,34
"2016-02-01",75,53,38,11,30
"2016-03-01",76,50,38,12,28
"2016-04-01",73,50,38,11,32
"2016-05-01",69,46,32,10,26
"2016-06-01",64,43,30,9,21
"2016-07-01",61,38,27,10,17
"2016-08-01",65,37,24,10,17
"2016-09-01",73,43,34,10,22
"2016-10-01",75,49,38,11,28
"2016-11-01",85,18,11,13,25
"2016-12-01",75,15,7,13,17
"2017-01-01",93,17,5,16,26
"2017-02-01",88,18,2,13,21
"2017-03-01",88,19,2,14,21
"2017-04-01",84,17,1,12,20
"2017-05-01",84,13,1,12,19
"2017-06-01",76,15,1,11,16
"2017-07-01",78,10,1,13,16
"2017-08-01",78,13,1,13,13
"2017-09-01",85,15,1,12,18
"2017-10-01",84,13,1,12,25
"2017-11-01",88,17,1,11,20
"2017-12-01",77,15,2,13,17
"2018-01-01",89,17,2,13,20
"2018-02-01",89,17,5,12,34
"2018-03-01",86,15,7,13,56
"2018-04-01",84,13,13,11,42
"2018-05-01",80,14,22,10,38
"2018-06-01",78,13,24,10,38
"2018-07-01",74,11,14,11,39
"2018-08-01",80,11,8,12,29
"2018-09-01",88,13,23,11,30
"2018-10-01",95,19,36,12,35
"2018-11-01",93,31,39,12,43
"2018-12-01",85,30,33,12,50
"2019-01-01",92,31,35,13,70
"2019-02-01",92,29,32,12,64
"2019-03-01",92,30,38,13,48
"2019-04-01",86,33,38,11,42
"2019-05-01",85,30,36,10,55
"2019-06-01",79,22,33,10,41
"2019-07-01",80,21,30,11,32
"2019-08-01",82,18,29,11,28
"2019-09-01",90,22,34,11,38
"2019-10-01",91,29,38,12,46
"2019-11-01",90,31,40,11,48
"2019-12-01",82,27,34,12,36
"2020-01-01",92,33,38,13,50
"2020-02-01",94,31,39,12,44
"2020-03-01",87,25,39,10,37
"2020-04-01",81,24,36,12,33
"2020-05-01",82,24,32,12,30
"2020-06-01",78,23,29,11,28
"2020-07-01",86,20,33,11,28
"2020-08-01",86,22,33,12,24
"2020-09-01",91,22,38,12,30
"2020-10-01",95,28,41,13,42
"2020-11-01",89,29,40,12,40
"2020-12-01",86,25,36,12,37
"2021-01-01",98,26,37,15,43
"2021-02-01",97,37,40,15,43
"2021-03-01",96,50,41,12,42
"2021-04-01",89,46,37,12,43
"2021-05-01",92,44,35,10,32
"2021-06-01",85,40,34,10,32
"2021-07-01",86,35,33,11,28
"2021-08-01",87,36,30,11,24
