"Time","Anxiety","Major depressive disorder","Psychological Stress","Insomnia","Mental disorder"
"2016-09-01",73,53,33,8,27
"2016-10-01",76,52,33,9,31
"2016-11-01",82,12,9,10,22
"2016-12-01",74,8,5,10,15
"2017-01-01",80,14,4,12,16
"2017-02-01",86,16,2,11,19
"2017-03-01",93,16,2,12,25
"2017-04-01",86,15,1,10,22
"2017-05-01",91,10,1,11,23
"2017-06-01",87,14,1,11,19
"2017-07-01",81,6,1,11,17
"2017-08-01",89,9,1,12,20
"2017-09-01",87,11,1,10,26
"2017-10-01",92,10,1,11,33
"2017-11-01",72,15,1,8,18
"2017-12-01",70,14,1,9,14
"2018-01-01",80,15,1,11,14
"2018-02-01",89,14,5,10,32
"2018-03-01",83,9,6,11,69
"2018-04-01",87,8,13,11,45
"2018-05-01",89,10,28,10,47
"2018-06-01",90,8,25,9,42
"2018-07-01",84,6,18,10,51
"2018-08-01",93,7,11,10,46
"2018-09-01",89,9,23,10,38
"2018-10-01",88,9,36,11,36
"2018-11-01",87,22,34,9,41
"2018-12-01",76,18,24,9,50
"2019-01-01",78,17,26,11,55
"2019-02-01",88,21,35,10,68
"2019-03-01",95,24,41,11,56
"2019-04-01",89,28,38,10,44
"2019-05-01",89,30,40,10,69
"2019-06-01",87,24,38,10,58
"2019-07-01",86,20,35,11,47
"2019-08-01",91,21,39,10,52
"2019-09-01",90,25,41,10,57
"2019-10-01",94,24,40,11,54
"2019-11-01",85,24,37,10,47
"2019-12-01",72,18,29,9,33
"2020-01-01",81,21,31,11,35
"2020-02-01",89,24,39,10,45
"2020-03-01",87,27,40,9,48
"2020-04-01",82,25,37,12,42
"2020-05-01",86,30,43,12,43
"2020-06-01",97,24,40,11,42
"2020-07-01",84,19,36,11,38
"2020-08-01",90,23,43,12,44
"2020-09-01",93,22,43,12,49
"2020-10-01",89,25,39,12,49
"2020-11-01",80,20,38,10,45
"2020-12-01",72,18,27,10,32
"2021-01-01",83,17,27,12,34
"2021-02-01",85,26,37,12,41
"2021-03-01",94,48,43,12,47
"2021-04-01",88,45,35,11,44
"2021-05-01",95,48,40,10,39
"2021-06-01",88,40,40,10,35
"2021-07-01",80,35,36,12,35
"2021-08-01",90,39,40,11,37
"2021-09-01",94,30,42,11,35
"2021-10-01",100,30,39,11,29
"2021-11-01",89,29,36,9,22
"2021-12-01",70,20,28,9,17
"2022-01-01",76,23,27,13,20
"2022-02-01",90,25,39,11,33
"2022-03-01",95,27,48,12,41
"2022-04-01",87,30,41,11,40
"2022-05-01",84,40,46,11,18
"2022-06-01",83,24,41,11,34
"2022-07-01",84,11,32,12,27
"2022-08-01",95,13,41,12,39
"2022-09-01",90,12,40,11,30
"2022-10-01",90,12,37,11,29
"2022-11-01",81,10,33,10,22
"2022-12-01",66,8,27,10,17
"2023-01-01",80,9,25,12,18
"2023-02-01",82,12,38,12,23
"2023-03-01",96,8,12,12,22
"2023-04-01",92,8,10,12,18
"2023-05-01",98,8,11,11,21
"2023-06-01",88,6,12,11,16
"2023-07-01",87,6,13,12,16
"2023-08-01",95,6,21,11,20
"2023-09-01",91,7,20,11,18
"2023-10-01",93,6,21,12,18
"2023-11-01",86,5,17,10,15
"2023-12-01",70,4,13,10,12
"2024-01-01",79,4,10,12,12
"2024-02-01",81,5,16,10,16
"2024-03-01",84,6,11,12,19
"2024-04-01",93,6,10,11,21
"2024-05-01",92,7,17,11,19
"2024-06-01",82,6,13,10,19
"2024-07-01",84,6,9,11,16
"2024-08-01",92,7,23,11,17
"2024-09-01",95,7,25,10,18
"2024-10-01",88,7,28,12,17
"2024-11-01",80,5,18,10,15
"2024-12-01",65,4,33,9,10
"2025-01-01",77,4,35,11,10
"2025-02-01",86,5,24,10,15
"2025-03-01",91,6,29,11,17
"2025-04-01",89,7,9,10,15
"2025-05-01",88,9,7,10,17
"2025-06-01",84,8,6,10,14
"2025-07-01",77,6,5,10,11
"2025-08-01",82,7,6,10,16
"2025-09-01",83,8,7,10,15
"2025-10-01",80,7,6,10,14
"2025-11-01",78,10,7,10,13
"2025-12-01",66,6,6,9,11
